TIME,TEMPERATURA,,
2023-01-01T15:34:28.928Z,7,,
2023-01-01T15:35:29.386Z,7,,
2023-01-01T15:36:29.797Z,7,,
2023-01-01T15:37:30.214Z,7,,
2023-01-01T15:38:30.634Z,6,,
2023-01-01T15:39:31.043Z,6,,
2023-01-01T15:40:32.130Z,7,,
2023-01-01T15:41:32.058Z,6,,
2023-01-01T15:42:32.392Z,7,,
2023-01-01T15:43:32.998Z,8,,
2023-01-01T15:44:33.313Z,6,,
2023-01-01T15:45:33.712Z,8,,
2023-01-01T15:46:34.126Z,7,,
2023-01-01T15:47:34.541Z,8,,
2023-01-01T15:48:34.991Z,7,,
2023-01-01T15:49:35.392Z,8,,
2023-01-01T15:50:35.803Z,8,,
2023-01-01T15:51:36.223Z,7,,
2023-01-01T15:52:36.639Z,8,,
2023-01-01T15:53:37.053Z,8,,
2023-01-01T15:54:37.487Z,7,,
2023-01-01T15:55:37.989Z,8,,
2023-01-01T15:56:38.401Z,8,,
2023-01-01T15:57:38.987Z,8,,
2023-01-01T15:58:39.439Z,8,,
2023-01-01T15:59:39.854Z,7,,
2023-01-01T16:00:40.340Z,8,,
2023-01-01T16:01:40.683Z,8,,
2023-01-01T16:02:41.097Z,9,,
2023-01-01T16:03:41.514Z,9,,
2023-01-01T16:04:41.930Z,9,,
2023-01-01T16:05:42.361Z,9,,
2023-01-01T16:06:42.949Z,9,,
2023-01-01T16:07:43.413Z,9,,
2023-01-01T16:08:43.827Z,9,,
2023-01-01T16:09:44.243Z,9,,
2023-01-01T16:10:45.264Z,9,,
2023-01-01T16:11:45.076Z,10,,
2023-01-01T16:12:45.492Z,10,,
2023-01-01T16:13:46.011Z,10,,
2023-01-01T16:14:46.428Z,9,,
2023-01-01T16:15:47.011Z,9,,
2023-01-01T16:16:47.465Z,9,,
2023-01-01T16:17:47.882Z,9,,
2023-01-01T16:18:48.297Z,9,,
2023-01-01T16:19:48.713Z,10,,
2023-01-01T16:20:49.129Z,10,,
2023-01-01T16:21:49.546Z,11,,
2023-01-01T16:22:49.962Z,11,,
2023-01-01T16:23:50.379Z,10,,
2023-01-01T16:24:50.796Z,10,,
2023-01-01T16:25:51.210Z,10,,
2023-01-01T16:26:52.024Z,11,,
2023-01-01T16:27:52.156Z,11,,
2023-01-01T16:28:52.564Z,11,,
2023-01-01T16:29:52.979Z,11,,
2023-01-01T16:30:53.532Z,11,,
2023-01-01T16:31:53.913Z,11,,
